,token,count
0,,10643
1,agency,10480
2,of,10477
3,spots,10445
4,product,10409
5,advertiser,10358
6,page,10248
7,date,10123
8,order,10067
9,sales,10065
10,billing,10050
11,office,10025
12,rate,10017
13,net,9879
14,account,9699
15,a,9664
16,news,9641
17,dates,9629
18,code,9577
19,gross,9409
20,cash,9385
21,time,9365
22,estimate,9351
23,executive,9307
24,amount,9139
25,start,9111
26,p,9087
27,end,9028
28,week,8977
29,totals,8915
30,alt,8852
31,cycle,8780
32,spotsweek,8766
33,ch,8764
34,startend,8734
35,nm,8678
36,print,8636
37,days,8544
38,original,8528
39,demographic,8469
40,broadcast,8465
41,weekdays,8329
42,eomeoc,7859
43,the,7734
44,type,7640
45,new,7631
46,mf,7547
47,calendar,7479
48,s,7358
49,for,7065
50,n,6762
51,month,6751
52,contract,6587
53,orders,6480
54,pm,6402
55,length,6379
56,station,6287
57,e,6174
58,media,6154
59,m,6145
60,flight,6017
61,description,5968
62,ref,5931
63,rating,5805
64,su,5789
65,to,5751
66,buying,5734
67,break,5608
68,region,5596
69,ln,5584
70,rev,5566
71,pp,5564
72,am,5543
73,at,5497
74,revision,5476
75,sa,5398
76,and,5384
77,len,5339
78,contact,5295
79,primary,5274
80,is,5269
81,this,5209
82,commission,5192
83,aa,5145
84,inventory,5130
85,codes,5056
86,plan,5035
87,pri,5017
88,line,5014
89,in,4997
90,by,4975
91,t,4972
92,rtgtype,4962
93,f,4951
94,on,4936
95,priority,4879
96,washington,4758
97,dc,4705
98,cm,4704
99,terms,4630
100,with,4578
101,sun,4524
102,pol,4522
103,special,4510
104,w,4495
105,total,4485
106,period,4456
107,pa,4452
108,d,4267
109,name,4209
110,or,4197
111,sat,4169
112,prime,4122
113,late,4114
114,agreement,4089
115,handling,4058
116,not,4034
117,payment,4021
118,id,3845
119,between,3839
120,market,3836
121,sunday,3835
122,ae,3820
123,be,3819
124,conditions,3765
125,any,3761
126,are,3733
127,show,3732
128,bill,3729
129,contracts,3715
130,business,3707
131,share,3670
132,spot,3649
133,external,3629
134,above,3597
135,signature,3566
136,shall,3538
137,general,3532
138,thru,3517
139,suite,3511
140,desc,3504
141,separation,3503
142,revenue,3485
143,executives,3483
144,dateend,3483
145,otherwise,3451
146,deleted,3438
147,transactions,3435
148,edited,3435
149,cashtrade,3429
150,severally,3428
151,morning,3423
152,ap,3416
153,specified,3416
154,jointly,3412
155,constitute,3412
156,advertising,3404
157,typespots,3380
158,printed,3335
159,political,3325
160,nat,3274
161,street,3267
162,agy,3260
163,received,3203
164,cable,3191
165,inc,3176
166,within,3168
167,such,3123
168,service,3110
169,saturday,3079
170,idb,3070
171,instructions,3043
172,that,3015
173,will,3008
174,th,2965
175,full,2957
176,until,2934
177,pay,2928
178,remain,2914
179,notwithstanding,2910
180,obligated,2900
181,range,2899
182,correspondence,2887
183,whom,2885
184,rendered,2878
185,bills,2871
186,today,2854
187,race,2821
188,unkwn,2787
189,va,2751
190,october,2748
191,adults,2740
192,nw,2722
193,mtwtf,2719
194,basis,2717
195,notice,2684
196,discriminate,2658
197,ave,2648
198,ethnicity,2639
199,noon,2631
200,america,2617
201,bound,2573
202,gen,2554
203,when,2549
204,unless,2538
205,copy,2523
206,conflict,2495
207,insertion,2476
208,advance,2460
209,dr,2422
210,pl,2417
211,does,2398
212,national,2397
213,c,2327
214,msu,2308
215,tonight,2297
216,philadelphia,2283
217,hereby,2276
218,day,2231
219,alexandria,2216
220,competitive,2185
221,required,2176
222,good,2167
223,football,2144
224,rtg,2140
225,mg,2128
226,gma,2106
227,stations,2100
228,live,2097
229,cancellation,2092
230,no,2082
231,twtf,2074
232,an,1988
233,early,1934
234,nbc,1921
235,part,1913
236,nfl,1913
237,including,1909
238,which,1903
239,see,1900
240,sep,1888
241,accept,1886
242,b,1830
243,st,1817
244,hiatus,1793
245,night,1766
246,all,1751
247,ii,1733
248,senate,1711
249,value,1707
250,particular,1697
251,made,1679
252,chdate,1678
253,nightline,1641
254,credited,1624
255,program,1617
256,september,1613
257,american,1602
258,x,1589
259,com,1584
260,cbs,1576
261,action,1573
262,competing,1568
263,it,1556
264,amountgross,1548
265,calendarbroadcast,1546
266,tv,1533
267,from,1523
268,two,1517
269,mon,1515
270,jeopardy,1506
271,ellen,1505
272,other,1501
273,due,1494
274,sasu,1467
275,tu,1454
276,avenue,1450
277,fri,1435
278,air,1403
279,may,1394
280,group,1374
281,november,1355
282,we,1352
283,deal,1348
284,fox,1344
285,local,1325
286,if,1319
287,under,1318
288,wtf,1291
289,congress,1270
290,mt,1260
291,candidate,1259
292,weeks,1256
293,cand,1252
294,price,1247
295,provision,1239
296,pmpm,1239
297,ewsdc,1239
298,services,1233
299,place,1231
300,friday,1216
301,right,1214
302,i,1209
303,access,1202
304,co,1197
305,wisconsin,1187
306,abc,1183
307,our,1172
308,game,1156
309,as,1155
310,kelly,1145
311,wheel,1145
312,tue,1140
313,phil,1135
314,various,1133
315,k,1129
316,llc,1123
317,hour,1122
318,tax,1118
319,weekend,1113
320,do,1104
321,wed,1101
322,television,1098
323,monday,1096
324,run,1084
325,buyer,1083
326,view,1081
327,edition,1070
328,house,1057
329,last,1047
330,liable,1039
331,rejected,1030
332,obama,1023
333,its,1009
334,entertainment,1008
335,even,1004
336,salesperson,993
337,tf,980
338,advertisements,979
339,sale,974
340,timedays,972
341,confirmation,971
342,issue,965
343,ste,965
344,doctors,963
345,available,958
346,agreed,957
347,purports,949
348,handwritten,942
349,typed,941
350,upon,935
351,strategies,934
352,traffic,928
353,actual,926
354,tuesday,926
355,fortune,920
356,oh,918
357,amam,918
358,denver,916
359,judge,914
360,invoice,911
361,purpose,911
362,ss,911
363,comments,911
364,blvd,910
365,brand,909
366,powered,905
367,wideorbit,899
368,oz,897
369,note,895
370,class,895
371,but,894
372,inside,890
373,firm,888
374,mo,887
375,md,886
376,property,884
377,provided,883
378,placed,882
379,limited,875
380,request,870
381,party,867
382,us,865
383,sports,862
384,represents,860
385,jimmy,856
386,schedule,854
387,judy,854
388,preemptible,852
389,package,840
390,warrants,839
391,box,838
392,attention,835
393,ray,832
394,est,832
395,only,830
396,r,828
397,lives,827
398,millionaire,827
399,subject,818
400,purchasing,815
401,center,812
402,written,812
403,thursday,811
404,whether,810
405,david,809
406,ra,809
407,nightly,806
408,home,804
409,margolis,803
410,cpe,800
411,thu,799
412,standard,797
413,mentzer,797
414,demo,796
415,woio,796
416,address,794
417,face,793
418,midday,789
419,hospital,788
420,mitchell,786
421,four,782
422,prior,781
423,effective,780
424,has,779
425,andor,776
426,ma,772
427,except,771
428,letterman,771
429,g,761
430,decisions,760
431,discriminatory,759
432,agent,757
433,aaron,752
434,been,751
435,po,750
436,intent,749
437,president,749
438,road,749
439,nws,749
440,towson,748
441,millennium,746
442,wednesday,736
443,lets,736
444,katie,735
445,iss,733
446,ny,731
447,rd,728
448,greer,725
449,network,718
450,mtwtfss,717
451,tphi,717
452,wkyc,717
453,writing,716
454,either,716
455,delivery,711
456,your,710
457,set,709
458,immediately,709
459,reg,708
460,normal,707
461,twas,703
462,forth,699
463,change,698
464,oct,698
465,hereunder,696
466,material,696
467,spw,693
468,contained,692
469,expressly,691
470,lane,691
471,usa,689
472,state,685
473,august,685
474,rtn,682
475,college,680
476,information,674
477,following,672
478,log,670
479,out,669
480,obligations,668
481,termination,668
482,republican,668
483,herein,666
484,comm,665
485,provisions,664
486,relating,662
487,report,659
488,jim,657
489,dave,657
490,first,656
491,least,655
492,named,650
493,liabilities,648
494,confirm,648
495,nc,647
496,ksnv,645
497,extra,645
